Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33643706,06/21/2016 12:34:23 AM,06/21/2016 07:47:51 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11231,79 LORRAINE STREET,LORRAINE STREET,COLUMBIA STREET,HICKS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/21/2016 08:34:23 AM,The Police Department responded to the complaint and took action to fix the condition.,06/21/2016 07:47:52 AM,06 BROOKLYN,BROOKLYN,982413,184952,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67432707771706,-74.00662250211097,"(40.67432707771706, -74.00662250211097)"
33651042,06/21/2016 06:09:42 PM,06/21/2016 08:47:17 PM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11231,,,,,TIFFANY PLACE,KANE STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,06/22/2016 02:09:42 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/21/2016 08:47:17 PM,06 BROOKLYN,BROOKLYN,984101,189744,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68748021877294,-74.00053726045564,"(40.68748021877294, -74.00053726045564)"
33653280,06/21/2016 07:40:22 PM,06/21/2016 08:48:27 PM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11231,165 CONOVER STREET,CONOVER STREET,SULLIVAN STREET,WOLCOTT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/22/2016 03:40:22 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/21/2016 08:48:27 PM,06 BROOKLYN,BROOKLYN,980368,186393,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67828163707107,-74.01399568739492,"(40.67828163707107, -74.01399568739492)"
33654645,06/21/2016 02:14:50 PM,06/21/2016 03:07:37 PM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11231,175 DIKEMAN STREET,DIKEMAN STREET,CONOVER STREET,FERRIS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/21/2016 10:14:50 PM,The Police Department responded to the complaint and determined that police action was not necessary.,06/21/2016 03:07:37 PM,06 BROOKLYN,BROOKLYN,979892,186383,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67825396779016,-74.0157117930007,"(40.67825396779016, -74.0157117930007)"
33654924,06/21/2016 02:09:48 PM,06/21/2016 03:07:35 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11231,173 DIKEMAN STREET,DIKEMAN STREET,CONOVER STREET,FERRIS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/21/2016 10:09:48 PM,The Police Department responded to the complaint and determined that police action was not necessary.,06/21/2016 03:07:35 PM,06 BROOKLYN,BROOKLYN,979906,186371,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67822103738647,-74.01566131140221,"(40.67822103738647, -74.01566131140221)"
33655882,06/21/2016 01:39:00 PM,06/29/2016 04:15:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11231,39 COFFEY STREET,COFFEY STREET,DWIGHT ST,RICHARDS ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/29/2016 04:15:00 PM,06 BROOKLYN,BROOKLYN,980997,185046,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.674584679489016,-74.0117273177029,"(40.674584679489016, -74.0117273177029)"
33663657,06/22/2016 08:10:56 AM,06/22/2016 09:04:06 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11231,SMITH STREET,SMITH STREET,SACKETT STREET,UNION STREET,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,06/22/2016 04:10:56 PM,The Police Department responded to the complaint and determined that police action was not necessary.,06/22/2016 09:04:06 AM,06 BROOKLYN,BROOKLYN,985998,187731,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68195482217686,-73.99369762776111,"(40.68195482217686, -73.99369762776111)"
33668352,06/23/2016 10:40:46 AM,06/23/2016 12:07:33 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,11231,175 DIKEMAN STREET,DIKEMAN STREET,CONOVER STREET,FERRIS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/23/2016 06:40:46 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/23/2016 12:07:33 PM,06 BROOKLYN,BROOKLYN,979892,186383,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67825396779016,-74.0157117930007,"(40.67825396779016, -74.0157117930007)"
33669342,06/23/2016 10:38:46 AM,06/23/2016 12:07:34 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,11231,175 DIKEMAN STREET,DIKEMAN STREET,CONOVER STREET,FERRIS STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/23/2016 06:38:46 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/23/2016 12:07:34 PM,06 BROOKLYN,BROOKLYN,979892,186383,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67825396779016,-74.0157117930007,"(40.67825396779016, -74.0157117930007)"
33670617,06/23/2016 04:59:00 AM,06/24/2016 07:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,344 DEGRAW STREET,DEGRAW STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/24/2016 07:00:00 AM,06 BROOKLYN,BROOKLYN,985971,188179,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68318448547265,-73.99379486119578,"(40.68318448547265, -73.99379486119578)"
