,index,TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,dt
0,0,12:00 AM,73.4,68,83,29.99,10,Calm,Calm,-,,,Clear,0,01-06-2016 04:35
1,1,12:35 AM,73.4,66.2,78,29.99,10,SW,3.5,-,,,Clear,220,01-06-2016 04:55
2,2,12:55 AM,71.6,66.2,83,29.99,10,SW,4.6,-,,,Clear,220,01-06-2016 05:00
3,3,1:00 AM,71.6,66.2,83,29.99,10,WSW,4.6,-,,,Clear,250,01-06-2016 05:35
4,4,1:35 AM,71.6,66.2,83,29.99,10,Calm,Calm,-,,,Clear,0,01-06-2016 05:55
5,5,1:55 AM,69.8,66.2,88,30,10,Calm,Calm,-,,,Clear,0,01-06-2016 06:00
6,6,2:00 AM,69.8,66.2,88,30,10,Calm,Calm,-,,,Clear,0,01-06-2016 06:35
7,7,2:35 AM,69.8,66.2,88,30,10,ENE,4.6,-,,,Clear,60,01-06-2016 06:55
8,8,2:55 AM,69.8,66.2,88,30.01,10,ENE,6.9,-,,,Clear,70,01-06-2016 07:00
9,9,3:00 AM,69.8,64.4,83,30.01,10,ENE,8.1,-,,,Clear,60,01-06-2016 07:35
10,10,3:35 AM,69.8,62.6,78,30.01,10,ENE,6.9,-,,,Clear,60,01-06-2016 07:55
11,11,3:55 AM,71.6,57.2,60,30.02,10,ENE,8.1,-,,,Clear,60,01-06-2016 08:00
12,12,4:00 AM,69.8,57.2,64,30.02,10,ENE,8.1,-,,,Clear,60,01-06-2016 08:35
13,13,4:35 AM,71.6,53.6,53,30.02,10,NE,9.2,-,,,Clear,40,01-06-2016 08:55
14,14,4:55 AM,71.6,53.6,53,30.03,10,NE,5.8,-,,,Scattered Clouds,50,01-06-2016 09:00
15,15,5:00 AM,71.6,53.6,53,30.04,10,ENE,5.8,-,,,Scattered Clouds,60,01-06-2016 09:35
16,16,5:35 AM,71.6,55.4,57,30.04,10,NE,8.1,-,,,Clear,50,01-06-2016 09:55
17,17,5:55 AM,69.8,57.2,64,30.05,10,ENE,6.9,-,,,Clear,70,01-06-2016 10:00
18,18,6:00 AM,71.6,53.6,53,30.06,10,NE,8.1,-,,,Clear,50,01-06-2016 10:35
19,19,6:35 AM,71.6,51.8,50,30.06,10,NE,8.1,-,,,Clear,50,01-06-2016 10:55
20,20,6:55 AM,71.6,50,46,30.06,10,NE,10.4,-,,,Clear,50,01-06-2016 11:00
21,21,7:00 AM,71.6,50,46,30.07,10,NE,8.1,23,,,Partly Cloudy,40,01-06-2016 11:35
22,22,7:35 AM,71.6,50,46,30.08,10,NNE,12.7,34.5,,,Mostly Cloudy,30,01-06-2016 11:55
23,23,7:55 AM,71.6,51.8,50,30.08,10,NE,9.2,-,,,Partly Cloudy,50,01-06-2016 12:00
24,24,8:00 AM,71.6,50,46,30.09,10,NE,9.2,-,,,Clear,50,01-06-2016 12:35
25,25,8:35 AM,73.4,50,44,30.09,10,ENE,10.4,-,,,Clear,60,01-06-2016 12:55
26,26,8:55 AM,73.4,51.8,47,30.09,10,ENE,9.2,-,,,Clear,60,01-06-2016 13:00
27,27,9:00 AM,75.2,50,41,30.09,10,ENE,9.2,-,,,Clear,60,01-06-2016 13:35
28,28,9:35 AM,75.2,50,41,30.1,10,NE,8.1,20.7,,,Clear,50,01-06-2016 13:55
29,29,9:55 AM,78.8,48.2,34,30.1,10,ENE,8.1,-,,,Clear,60,01-06-2016 14:00
